n,m,p,probability
14,6,0.0389241564974777,0.96
11,2,0.06033074410416672,0.92
15,5,0.0007745756200168593,0.0
14,20,0.007302002870197918,0.98
8,6,0.019902919380799345,0.98
18,8,0.9146428685804205,0.72
15,8,1.6403760484673402e-06,1.0
12,12,0.0008628046299694603,1.0
1,17,0.09960338208955122,0.32
17,2,0.7786599699306456,0.74
8,3,0.00042131832136605617,1.0
7,7,0.00023906579977632237,0.0
2,17,0.07207147302161504,0.86
3,2,0.9339425092938564,0.98
20,9,1.498408284843089e-05,1.0
2,9,0.0030325209365506234,0.98
18,19,0.002656666241217143,0.9
15,7,0.3242479691713256,0.4
4,6,0.00019011764187362956,1.0
6,20,0.001752948521827431,1.0
9,11,0.0034762000063229713,0.04
11,3,0.6505376416719421,0.44
7,19,7.907197883580808e-05,0.0
19,16,0.0032078647818586316,0.92
20,10,0.05193436719842909,0.76
18,7,0.9318022989699076,0.72
5,6,0.0001881419769686682,1.0
8,15,0.009637275510612574,0.96
18,14,0.07152882734279918,0.6
6,3,0.26715653290798524,0.42
3,20,0.0008133330936436171,0.98
14,1,0.002106261667281434,0.98
7,20,0.016159992513639365,0.76
4,9,0.49804341916711725,0.24
15,9,0.0008213411758120948,0.04
20,17,0.009060651936004877,0.9
12,9,0.024570166295150176,0.72
10,2,0.20856567273492055,0.74
11,16,0.0008903192939358162,1.0
19,17,0.004436314185987384,0.08
12,18,0.04650401883881113,0.74
6,7,0.3710834819805,0.34
10,19,0.0008017795322039003,0.98
3,10,0.002009846309726968,1.0
20,15,0.037921478851866884,0.62
18,1,0.812869263405677,0.86
3,9,0.00043915636819600245,0.0
20,3,0.008002429571270113,0.86
2,13,0.049317717478656334,0.92
6,13,0.9550917422574218,0.94
1,3,0.000581796375744228,0.0
19,14,0.0034675393024413436,0.96
6,13,0.0498902738703448,0.8
4,6,0.1208607723641435,0.88
5,11,0.0009075831024070351,0.0
20,8,0.0038607411881135946,1.0
10,5,0.045589995920962745,0.74
11,15,0.07991558388631592,0.38
5,15,0.0008055445810833357,0.02
17,10,0.0022147690813300257,0.94
20,6,0.06968360547649914,0.78
14,20,0.5735596748220051,0.04
6,19,8.766725565444233e-05,1.0
13,16,0.0039390466259387625,0.88
13,10,0.018833586270437054,0.9
12,5,0.3172501427088912,0.44
2,16,0.0002111730786387639,1.0
10,4,0.0026734930628284415,1.0
18,2,0.03893459583506392,0.94
5,1,0.37743554387192946,0.54
16,20,9.580343494609678e-05,1.0
15,15,0.007627123294198259,0.02
1,1,0.054407640051660634,0.04
1,16,0.8573598306531893,0.9
17,4,0.00012788422250089082,1.0
8,3,0.0007950817758055839,0.96
19,5,0.013148640303756643,0.16
15,11,0.7238650156560515,0.1
13,14,0.0008106382762812405,1.0
9,18,0.0014616251563511794,1.0
16,10,0.05355632111814683,0.68
7,3,0.6331863045807259,0.5
20,16,0.000301882738972574,1.0
18,7,0.003013549904744722,0.96
17,19,0.06758978111746747,0.46
17,4,0.05392181253605666,0.8
13,16,0.0007096747897576888,0.96
15,16,0.003670298707189831,0.98
9,11,0.046310268410873115,0.28
9,17,0.333477418998931,0.18
5,4,0.0008290370651979354,1.0
17,6,0.0021769321286812283,1.0
18,20,0.08162934117408767,0.5
1,5,0.1997217457783299,0.56
11,10,0.0002126443596964578,1.0
20,16,0.009410294548068564,1.0
14,17,0.04965546139561351,0.64
14,11,0.1118883199571441,0.52
14,5,0.0007383304471913048,0.98
18,4,0.009398485376274133,1.0
14,10,0.017199879657589477,0.9
14,14,0.23192418528509973,0.22
4,8,0.0006211871645828558,1.0
7,18,0.00824267418276061,0.9
14,4,0.016206923633411176,1.0
20,14,0.7770785277285931,0.16
6,7,0.0008571342150126129,1.0
15,10,0.006437483964765119,0.9
4,16,0.016330649242813623,1.0
15,15,0.03091769302746017,0.3
7,19,0.0006820770508860713,0.0
5,8,0.009470586933444927,0.92
17,6,0.010764028075374665,0.98
10,1,0.1621667257736208,0.46
4,1,0.0003212122081098947,0.98
18,17,0.0052366103376420645,0.9
12,19,0.07430385704467848,0.54
4,11,0.2425326574685729,0.44
15,16,0.0006926527738445974,0.96
20,1,0.004065762754610201,0.92
18,17,0.020630073685482163,0.74
20,1,0.2535381939159196,0.3
1,13,0.0002866574286391904,0.02
10,5,0.006579073481052239,0.92
9,15,0.06947413768805907,0.34
11,2,0.8328806537604659,0.8
20,12,0.0007039050232319537,1.0
10,3,0.005054054935388102,0.92
16,3,0.024378027320638096,0.76
3,20,0.1820061946345125,0.44
18,5,0.0003645693715342401,0.98
20,16,0.009027728349276141,0.98
15,20,0.027754887739810264,0.76
1,1,0.6139904683069191,0.8
17,10,0.0007011336017369032,1.0
19,13,0.0002947066525790654,0.02
15,7,0.09995326732199655,0.26
4,3,0.7330514419994336,0.68
20,19,0.0003039731717169444,1.0
4,13,0.009060605867761785,0.92
2,14,0.012426782307595363,1.0
15,6,0.14961059900103335,0.62
14,10,0.0008521770240464444,1.0
18,14,0.004790842052874939,1.0
20,8,0.045203683747437884,0.86
13,10,0.5934433418257976,0.1
16,18,0.00034312379431537175,1.0
8,15,0.009660210356956928,0.94
13,9,0.004655164510254861,0.04
7,1,0.24637515084059314,0.42
1,6,0.00010661727278685307,1.0
16,16,0.0005577183893995308,1.0
7,12,0.06330952440839709,0.68
12,19,0.5061828607448737,0.04
16,10,0.0007944388690597808,1.0
17,20,0.006609752994459728,0.92
9,3,0.09904605917553687,0.34
20,12,0.4021489694781043,0.08
9,11,0.00029770341195451333,0.0
17,16,0.0003089019281503225,1.0
2,10,0.06567342666940336,0.96
20,20,0.5830259344308053,0.0
9,6,0.0003154455411473894,1.0
2,8,0.007671632726322892,1.0
9,5,0.027999676845880006,0.22
9,17,0.7202933915153558,0.2
11,1,4.2894253567211e-05,0.0
7,1,0.009303526513868515,0.08
12,19,0.009466624189015038,0.92
10,12,0.29795998251110056,0.22
10,2,0.00041400544225710887,1.0
5,9,0.005037685890646726,0.06
10,19,0.023287686991017374,0.82
9,20,0.08925349756401024,0.42
12,9,9.883891285659995e-05,1.0
4,13,0.002500262600203844,1.0
13,18,0.07045691001256779,0.54
19,17,0.8412920044901335,0.08
16,16,0.00038803298537128426,1.0
7,4,0.009118433540101369,0.98
16,16,0.08492449650073726,0.42
8,11,0.5295516209411312,0.28
6,2,0.00018470408225304525,1.0
15,18,0.005938996484040983,0.92
6,8,0.047209213251729776,0.96
1,18,0.8111207946564176,0.8
3,7,0.00036688941805950316,0.0
5,14,0.0038964143006466633,0.88
13,6,0.08592767706312729,0.66
8,5,0.9890174106067146,0.98
17,1,0.00036117431950706704,0.04
7,7,0.006595278717136801,0.1
11,13,0.021224801179350928,0.2
12,3,0.5840273832017343,0.3
14,8,0.0008323932679132702,1.0
6,3,0.003614741619075954,1.0
12,6,0.005597289016798101,1.0
1,13,0.2035410636502889,0.34
12,9,5.686224522217487e-05,1.0
17,16,0.009387996932309704,0.92
17,14,0.04615034610006972,0.5
8,20,0.08253931991018193,0.62
14,17,0.0006959907021991506,1.0
2,8,0.0018070046585336875,1.0
9,9,0.08362917492674066,0.4
14,17,0.4286840736613099,0.04
5,1,0.0004813505576667334,0.0
6,17,0.0023126509339479085,0.98
19,5,0.0819742728108111,0.3
12,12,0.7098359459556386,0.08
8,11,0.00030962910127252353,1.0
8,7,0.001302139454695338,1.0
13,18,0.04330505389430485,0.68
5,16,0.7040681774034868,0.34
9,7,0.0009956640238745664,0.0
2,3,0.003974983852501524,1.0
14,12,0.09007550909612416,0.66
9,10,0.29851764185674545,0.42
17,7,0.0009017210387361199,0.02
19,11,0.008612795216257846,0.14
4,11,0.07240518922709478,0.82
10,20,0.35684172133983094,0.16
16,20,6.569872969743973e-05,1.0
18,6,0.002843827734318639,1.0
14,2,0.03934717684737208,1.0
19,5,0.21764033847180697,0.26
12,4,3.556496321640745e-05,1.0
1,9,0.0009748332967973661,0.0
9,19,0.018990367251989448,0.18
12,18,0.8770987835642997,0.42
2,17,0.000997282372838593,1.0
19,13,0.0021525654488190825,0.04
15,15,0.00727398856081315,0.04
5,14,0.46370887987104514,0.28
5,18,0.000880771201937496,1.0
15,10,0.0003385831813293916,1.0
13,2,0.031375616122532646,0.96
7,11,0.09036227572423694,0.5
7,19,0.0006434029027780399,0.0
15,13,0.0033741864512089738,0.04
4,15,0.057903269610046895,0.86
4,18,0.6824035147069308,0.54
5,9,0.0002541154963952015,0.0
6,2,0.006423954059102226,1.0
5,4,0.025004368395863154,0.92
17,8,0.3800398775963113,0.08
14,14,0.0009914926760755157,1.0
5,15,0.005642086647191588,0.08
15,11,0.011445926901363767,0.04
8,4,0.8447158482419287,0.56
8,4,0.000253207441223151,1.0
5,2,0.004038529838670059,1.0
1,2,0.00604416146487724,0.98
9,1,0.38007761674697227,0.46
3,9,0.0005477953361786391,0.0
9,2,0.009273604302434879,0.96
18,2,0.014655412853714389,1.0
12,2,0.24326319382496697,0.54
13,2,0.00017589453562221702,1.0
19,19,0.006652289228473469,0.06
1,18,0.06359525482186634,0.46
6,7,0.6242834330830188,0.34
2,1,0.00011366354000665136,1.0
